"FACULTYID","CARBODYTYPE","MONTHID","COUNT"
"FIT","Bus","09",27
"FIT","Bus","10",26
"FIT","Bus","11",26
"FIT","Bus","12",25
"FIT","Bus","All Month",311
"FIT","Mini Bus","01",24
"FIT","Mini Bus","02",24
"FIT","Mini Bus","03",26
"FIT","Mini Bus","04",21
"FIT","Mini Bus","05",24
"FIT","Mini Bus","06",26
"FIT","Mini Bus","07",27
"FIT","Mini Bus","08",25
"FIT","Mini Bus","09",26
"FIT","Mini Bus","10",27
"FIT","Mini Bus","11",25
"FIT","Mini Bus","12",24
"FIT","Mini Bus","All Month",299
"FIT","People Mover","01",27
"FIT","People Mover","02",25
"FIT","People Mover","03",27
"FIT","People Mover","04",25
"FIT","People Mover","05",27
"FIT","People Mover","06",25
"FIT","People Mover","07",27
"FIT","People Mover","08",27
"FIT","People Mover","09",26
"FIT","People Mover","10",27
"FIT","People Mover","11",26
"FIT","People Mover","12",25
"FIT","People Mover","All Month",314
"FIT","","All Month",924
"SCI","Bus","01",23
"SCI","Bus","02",26
"SCI","Bus","03",27
"SCI","Bus","04",23
"SCI","Bus","05",23
"SCI","Bus","06",26
"SCI","Bus","07",25
"SCI","Bus","08",27
"SCI","Bus","09",22
"SCI","Bus","10",24
"SCI","Bus","11",26
"SCI","Bus","12",26
"SCI","Bus","All Month",298
"SCI","Mini Bus","01",21
"SCI","Mini Bus","02",24
"SCI","Mini Bus","03",26
"SCI","Mini Bus","04",25
"SCI","Mini Bus","05",27
"SCI","Mini Bus","06",27
"SCI","Mini Bus","07",25
"SCI","Mini Bus","08",28
"SCI","Mini Bus","09",24
"SCI","Mini Bus","10",25
"SCI","Mini Bus","11",26
"SCI","Mini Bus","12",26
"SCI","Mini Bus","All Month",304
"SCI","People Mover","01",28
"SCI","People Mover","02",26
"SCI","People Mover","03",27
"SCI","People Mover","04",28
"SCI","People Mover","05",25
"SCI","People Mover","06",22
"SCI","People Mover","07",27
"SCI","People Mover","08",25
"SCI","People Mover","09",27
"SCI","People Mover","10",23
"SCI","People Mover","11",26
"SCI","People Mover","12",24
"SCI","People Mover","All Month",308
"SCI","","All Month",910
